model,horizon,seed,epochs,best_epoch,device,mse,mae,checkpoint,figure,loss_curve
spectral-patch-v2-norevin,90,55,17,2,cuda,181242.40625,324.3770751953125,/home/icc/exam/exam/outputs/models/spectral-patch-v2-norevin_h90_seed55.pt,/home/icc/exam/exam/outputs/figures/spectral-patch-v2-norevin_h90_seed55.png,/home/icc/exam/exam/outputs/figures/loss_spectral-patch-v2-norevin_h90_seed55.png
spectral-patch-v2-norevin,365,11,18,3,cuda,170795.53125,315.49908447265625,/home/icc/exam/exam/outputs/models/spectral-patch-v2-norevin_h365_seed11.pt,/home/icc/exam/exam/outputs/figures/spectral-patch-v2-norevin_h365_seed11.png,/home/icc/exam/exam/outputs/figures/loss_spectral-patch-v2-norevin_h365_seed11.png
spectral-patch-v2-norevin,365,22,27,12,cuda,176204.75,319.2733154296875,/home/icc/exam/exam/outputs/models/spectral-patch-v2-norevin_h365_seed22.pt,/home/icc/exam/exam/outputs/figures/spectral-patch-v2-norevin_h365_seed22.png,/home/icc/exam/exam/outputs/figures/loss_spectral-patch-v2-norevin_h365_seed22.png
spectral-patch-v2-norevin,365,33,20,5,cuda,174509.453125,319.56878662109375,/home/icc/exam/exam/outputs/models/spectral-patch-v2-norevin_h365_seed33.pt,/home/icc/exam/exam/outputs/figures/spectral-patch-v2-norevin_h365_seed33.png,/home/icc/exam/exam/outputs/figures/loss_spectral-patch-v2-norevin_h365_seed33.png
spectral-patch-v2-norevin,365,44,28,13,cuda,180871.6875,324.9666442871094,/home/icc/exam/exam/outputs/models/spectral-patch-v2-norevin_h365_seed44.pt,/home/icc/exam/exam/outputs/figures/spectral-patch-v2-norevin_h365_seed44.png,/home/icc/exam/exam/outputs/figures/loss_spectral-patch-v2-norevin_h365_seed44.png
spectral-patch-v2-norevin,365,55,19,4,cuda,173516.75,316.3506164550781,/home/icc/exam/exam/outputs/models/spectral-patch-v2-norevin_h365_seed55.pt,/home/icc/exam/exam/outputs/figures/spectral-patch-v2-norevin_h365_seed55.png,/home/icc/exam/exam/outputs/figures/loss_spectral-patch-v2-norevin_h365_seed55.png
flow-matching,90,11,27,17,cuda,239374.640625,379.69659423828125,/home/icc/exam/exam/outputs/models/flow-matching_h90_seed11.pt,/home/icc/exam/exam/outputs/figures/flow-matching_h90_seed11.png,/home/icc/exam/exam/outputs/figures/loss_flow-matching_h90_seed11.png
flow-matching,90,22,28,18,cuda,211645.078125,355.9053649902344,/home/icc/exam/exam/outputs/models/flow-matching_h90_seed22.pt,/home/icc/exam/exam/outputs/figures/flow-matching_h90_seed22.png,/home/icc/exam/exam/outputs/figures/loss_flow-matching_h90_seed22.png
flow-matching,90,33,24,14,cuda,257054.6875,396.1676330566406,/home/icc/exam/exam/outputs/models/flow-matching_h90_seed33.pt,/home/icc/exam/exam/outputs/figures/flow-matching_h90_seed33.png,/home/icc/exam/exam/outputs/figures/loss_flow-matching_h90_seed33.png
flow-matching,90,44,25,15,cuda,238924.5,382.62274169921875,/home/icc/exam/exam/outputs/models/flow-matching_h90_seed44.pt,/home/icc/exam/exam/outputs/figures/flow-matching_h90_seed44.png,/home/icc/exam/exam/outputs/figures/loss_flow-matching_h90_seed44.png
flow-matching,90,55,18,8,cuda,240215.1875,382.27532958984375,/home/icc/exam/exam/outputs/models/flow-matching_h90_seed55.pt,/home/icc/exam/exam/outputs/figures/flow-matching_h90_seed55.png,/home/icc/exam/exam/outputs/figures/loss_flow-matching_h90_seed55.png
flow-matching,365,11,26,16,cuda,234316.328125,374.86328125,/home/icc/exam/exam/outputs/models/flow-matching_h365_seed11.pt,/home/icc/exam/exam/outputs/figures/flow-matching_h365_seed11.png,/home/icc/exam/exam/outputs/figures/loss_flow-matching_h365_seed11.png
flow-matching,365,22,30,28,cuda,229044.15625,370.8641662597656,/home/icc/exam/exam/outputs/models/flow-matching_h365_seed22.pt,/home/icc/exam/exam/outputs/figures/flow-matching_h365_seed22.png,/home/icc/exam/exam/outputs/figures/loss_flow-matching_h365_seed22.png
flow-matching,365,33,30,21,cuda,242723.875,380.3187561035156,/home/icc/exam/exam/outputs/models/flow-matching_h365_seed33.pt,/home/icc/exam/exam/outputs/figures/flow-matching_h365_seed33.png,/home/icc/exam/exam/outputs/figures/loss_flow-matching_h365_seed33.png
flow-matching,365,44,19,9,cuda,224614.015625,365.4881896972656,/home/icc/exam/exam/outputs/models/flow-matching_h365_seed44.pt,/home/icc/exam/exam/outputs/figures/flow-matching_h365_seed44.png,/home/icc/exam/exam/outputs/figures/loss_flow-matching_h365_seed44.png
flow-matching,365,55,17,7,cuda,215406.265625,358.2420959472656,/home/icc/exam/exam/outputs/models/flow-matching_h365_seed55.pt,/home/icc/exam/exam/outputs/figures/flow-matching_h365_seed55.png,/home/icc/exam/exam/outputs/figures/loss_flow-matching_h365_seed55.png
